StationID,StationNO,name,available,empty
1,0019,生態園區站,16,12
2,0022,巨蛋站,1,31
3,0018,凹仔底站,0,32
4,0017,後驛站,0,32
5,0016,後火車站,8,24
6,0003,美麗島站,18,14
7,0009,中央公園站,12,20
8,0021,三多站,4,28
9,0028,新光中山站,9,23
10,0010,獅甲站,21,11
12,0026,凱旋站,8,24
13,0006,西子灣站,10,22
14,0043,鹽埕埔站,28,0
15,0008,市議會(舊址)站,13,19
16,0015,新興區公所站,4,20
17,0038,文化中正站,8,16
18,0029,五塊厝站,21,11
19,0027,技擊館站,22,10
96,0013,衛武營站,7,25
99,0052,大東文化藝術中心站-01,15,17
100,0051,大東文化藝術中心站-02,0,24
102,0053,捷運鳳山站,17,15
104,0056,捷運鳳山西站,9,23
107,0059,捷運小港站,2,30
123,0075,捷運青埔站,11,21
124,0077,捷運南岡山站,14,18
117,0069,捷運世運主場館站,18,14
119,0071,捷運楠梓加工出口區站,0,32
121,0073,捷運都會公園站,24,8
135,0088,高雄國際機場站,11,21
141,0094,草衙站,12,20
145,0098,福誠高中站,15,17
150,0103,南華市場站,13,3
151,0104,郵政總局站,15,1
139,0092,高鐵左營站,14,18
158,0111,巨蛋站(2),0,12
159,0112,後驛站(2),0,16
161,0114,中央公園站(2),5,7
163,0116,三多站(2),5,7
165,0118,文化中正站(2),0,12
243,0123,前鎮高中站,13,19
262,0139,台鐵新左營站,1,15
343,0177,捷運鳳山國中站,8,4
260,0137,捷運大寮站,12,20
261,0138,輔英科技大學站,14,18
344,0178,新甲國小站,9,7
346,0180,三信家商站,2,14
347,0181,大同醫院站,12,4
348,0182,公二公園站,5,11
349,0183,後備指揮部站,4,12
350,0184,三民高中站,6,10
351,0185,家樂福鼎山站,7,9
352,0186,新光國小站,14,2
353,0187,新莊高中站,5,11
354,0188,海青工商站,2,14
355,0189,合群新城和區站,6,10
356,0190,富國公園站,11,5
357,0191,鼓山高中站,2,14
358,0192,仁武區運動公園站,7,9
359,0193,旗津醫院站,6,10
360,0194,興達港站(2),10,6
361,0195,明德國小站,12,4
263,0140,扶輪公園站,16,8
264,0141,高雄榮總站,20,12
266,0143,岡山河堤公園站,16,16
267,0144,岡山稽徵所站,17,11
268,0145,岡山忠孝里站,4,28
269,0146,岡山文化中心站,12,12
270,0147,原民會站,8,16
271,0148,消防局站,5,27
272,0149,前鎮加工區站(1),7,9
273,0150,前鎮加工區站(2),7,9
275,0152,福裕停車場站,4,20
276,0153,文化中心站,0,32
277,0154,正義市場站,8,8
278,0155,高雄高商站,14,14
280,0156,高雄監理所站,17,15
281,0157,楠梓翠屏站,12,20
282,0158,鳳新高中站(2),10,22
316,0159,森林公園站(2),15,17
317,0160,高雄真愛館站,4,12
319,0163,興達港站,9,7
321,0161,小港醫院站,16,16
322,0162,自由市場站,14,14
323,0164,文山高中站,8,8
324,0165,市府鳳山行政中心站(2),9,23
325,0166,澄清湖站(3),6,10
326,0167,澄清湖站(4),0,16
327,0168,澄清湖站(5),4,12
335,0134,大寮區公所站,12,4
336,0170,長青綜合服務中心站,7,9
337,0171,翠平公園站,6,10
338,0172,中鋼成功站,2,14
339,0173,聖和公園站,3,13
340,0174,圖書總館站,0,16
341,0175,中山公園站,11,5
342,0176,高雄監理所(武營)站,9,7
244,0124,美術館馬卡道站,18,14
245,0125,福山廣場站,9,23
249,0126,阿公店水庫站,11,5
251,0127,澄清湖站(2),11,21
252,0128,寶業里滯洪池站,18,14
253,0129,陽明溜冰場站,11,5
254,0130,義民廟站,6,10
255,0131,鼎泰廣場站,11,21
256,0132,平和停車場站,13,19
257,0133,小港區公所站,4,28
258,0135,和春技術學院站(1),16,12
259,0136,和春技術學院站(2),12,20
166,0119,文化師大站(2),10,2
167,0120,光華公園站(2),5,7
168,0121,海科大旗津站(2),3,13
241,0122,鳳新高中站,18,14
164,0117,市府四維站(2),3,9
162,0115,高雄女中站(2),7,5
160,0113,高雄醫學大學站(2),2,10
140,0093,孔廟站,10,22
152,0105,民族八德站,16,16
153,0106,高雄大學站,8,24
154,0107,中山高中站,13,19
155,0108,龍華國小站,12,20
156,0109,海科大旗津站(1),1,15
146,0099,道明中學站,24,4
147,0100,英明公園站,13,19
148,0101,四維公園站,8,8
149,0102,正修大學站,8,24
142,0095,佛公國小站,5,27
143,0096,海洋局站,7,25
144,0097,二聖公園站,8,24
137,0090,左營高中站,6,26
