StationID,StationNO,name,available,empty
1,0019,生態園區站,11,17
2,0022,巨蛋站,14,18
3,0018,凹仔底站,18,14
4,0017,後驛站,19,13
5,0016,後火車站,21,11
6,0003,美麗島站,5,27
7,0009,中央公園站,15,17
8,0021,三多站,12,19
9,0028,新光中山站,10,20
10,0010,獅甲站,5,27
12,0026,凱旋站,6,26
13,0006,西子灣站,15,17
14,0043,鹽埕埔站,8,20
15,0008,市議會(舊址)站,15,17
16,0015,新興區公所站,20,4
17,0038,文化中正站,2,22
18,0029,五塊厝站,15,16
19,0027,技擊館站,20,12
96,0013,衛武營站,15,16
99,0052,大東文化藝術中心站-01,21,11
100,0051,大東文化藝術中心站-02,22,2
102,0053,捷運鳳山站,8,24
104,0056,捷運鳳山西站,8,24
107,0059,捷運小港站,6,26
123,0075,捷運青埔站,20,12
124,0077,捷運南岡山站,14,18
117,0069,捷運世運主場館站,5,27
119,0071,捷運楠梓加工出口區站,12,20
121,0073,捷運都會公園站,10,22
135,0088,高雄國際機場站,12,19
141,0094,草衙站,6,26
145,0098,福誠高中站,8,24
150,0103,南華市場站,14,2
151,0104,郵政總局站,3,13
139,0092,高鐵左營站,7,25
158,0111,巨蛋站(2),4,8
159,0112,後驛站(2),14,2
161,0114,中央公園站(2),1,11
163,0116,三多站(2),0,12
165,0118,文化中正站(2),0,12
243,0123,前鎮高中站,9,23
262,0139,台鐵新左營站,1,15
343,0177,捷運鳳山國中站,5,7
260,0137,捷運大寮站,19,13
261,0138,輔英科技大學站,5,27
344,0178,新甲國小站,6,10
346,0180,三信家商站,4,12
347,0181,大同醫院站,7,9
348,0182,公二公園站,3,13
349,0183,後備指揮部站,7,9
350,0184,三民高中站,4,12
351,0185,家樂福鼎山站,5,11
352,0186,新光國小站,6,10
353,0187,新莊高中站,2,14
354,0188,海青工商站,7,9
355,0189,合群新城和區站,10,6
357,0191,鼓山高中站,1,15
358,0192,仁武區運動公園站,9,7
359,0193,旗津醫院站,9,7
360,0194,興達港站(2),13,3
263,0140,扶輪公園站,3,21
264,0141,高雄榮總站,13,19
266,0143,岡山河堤公園站,11,20
267,0144,岡山稽徵所站,8,20
268,0145,岡山忠孝里站,8,24
269,0146,岡山文化中心站,10,14
270,0147,原民會站,12,12
271,0148,消防局站,7,25
272,0149,前鎮加工區站(1),2,14
273,0150,前鎮加工區站(2),3,13
275,0152,福裕停車場站,14,10
276,0153,文化中心站,12,20
277,0154,正義市場站,14,2
278,0155,高雄高商站,13,15
280,0156,高雄監理所站,15,17
281,0157,楠梓翠屏站,16,16
282,0158,鳳新高中站(2),9,23
316,0159,森林公園站(2),1,31
317,0160,高雄真愛館站,7,9
319,0163,興達港站,14,2
321,0161,小港醫院站,12,20
322,0162,自由市場站,4,24
323,0164,文山高中站,9,7
324,0165,市府鳳山行政中心站(2),3,29
325,0166,澄清湖站(3),12,4
326,0167,澄清湖站(4),1,15
327,0168,澄清湖站(5),0,16
335,0134,大寮區公所站,4,12
336,0170,長青綜合服務中心站,4,12
337,0171,翠平公園站,7,9
338,0172,中鋼成功站,9,7
339,0173,聖和公園站,5,11
340,0174,圖書總館站,7,9
341,0175,中山公園站,7,9
342,0176,高雄監理所(武營)站,5,11
244,0124,美術館馬卡道站,18,14
245,0125,福山廣場站,0,32
249,0126,阿公店水庫站,1,15
251,0127,澄清湖站(2),2,30
252,0128,寶業里滯洪池站,10,22
253,0129,陽明溜冰場站,15,1
254,0130,義民廟站,13,3
255,0131,鼎泰廣場站,6,26
256,0132,平和停車場站,6,26
257,0133,小港區公所站,9,23
258,0135,和春技術學院站(1),9,19
259,0136,和春技術學院站(2),8,24
166,0119,文化師大站(2),6,6
167,0120,光華公園站(2),5,7
168,0121,海科大旗津站(2),5,11
241,0122,鳳新高中站,8,24
164,0117,市府四維站(2),6,6
162,0115,高雄女中站(2),6,6
160,0113,高雄醫學大學站(2),0,12
140,0093,孔廟站,19,13
152,0105,民族八德站,14,18
153,0106,高雄大學站,10,22
154,0107,中山高中站,19,13
155,0108,龍華國小站,10,22
156,0109,海科大旗津站(1),1,15
146,0099,道明中學站,20,8
147,0100,英明公園站,13,18
148,0101,四維公園站,5,10
149,0102,正修大學站,14,18
142,0095,佛公國小站,12,20
143,0096,海洋局站,10,22
144,0097,二聖公園站,1,31
137,0090,左營高中站,9,23
138,0091,蓮潭會館站,8,20
122,0074,高雄第一科技大學站,8,24
120,0072,加昌國小站,12,20
118,0070,世運主場館站,12,20
125,0078,岡山區公所站,8,12
126,0079,西子樓站,7,25
127,0080,龍虎塔站,10,22
128,0081,右昌圖書館站,12,12
129,0082,中鋼台船站,8,24
130,0083,金獅湖站,16,16
131,0084,文藻外語大學站,30,0
132,0085,莊敬公園站,11,21
133,0086,高雄高工站,26,6
134,0087,鼎金國小站,19,13
108,0060,餐旅高中站,11,17
109,0061,社教館站,11,13
110,0062,班超公園站,10,13
111,0063,高雄中學站,24,4
112,0064,博愛國小站,12,16
113,0065,客家文物館站,11,13
114,0066,明堤公園站,7,20
115,0067,微笑公園站,4,28
116,0068,左營國小站,12,20
105,0057,市府鳳山行政中心站,15,17
106,0058,澄清湖站,15,17
103,0054,鳳凌廣場站,8,16
101,0055,市議會(新址)站,21,11
97,0034,高雄醫學大學站,8,20
98,0050,美術館藝片天站,0,32
20,0001,蓮池潭站,22,10
21,0037,裕誠辛亥站,5,27
22,0031,明誠光興站,8,24
23,0048,華榮公園站,7,25
24,0049,森林公園站,3,29
25,0002,鳳山火車站,9,19
26,0033,愛河之心站,12,16
27,0047,科工館站,7,25
28,0046,中山大學站,0,30
29,0005,漁人碼頭站,13,19
30,0007,高雄電影館站,4,28
32,0032,家樂福愛河站,13,15
33,0030,市警局站,4,28
34,0042,國賓飯店站,11,17
35,0045,高雄女中站,2,28
36,0025,七賢忠孝站,8,24
37,0023,民生圓環站,11,21
38,0024,民生民權站,8,24
39,0011,市府四維站,4,28
40,0012,文化師大站,18,14
42,0035,新光成功站,22,8
43,0041,民權公園站,14,18
44,0040,光華公園站,14,18
45,0044,家樂福成功站,8,23
46,0036,夢時代站,8,24
