StationID,StationNO,name,available,empty
1,0019,生態園區站,10,18
2,0022,巨蛋站,13,19
3,0018,凹仔底站,9,23
4,0017,後驛站,22,10
5,0016,後火車站,9,22
6,0003,美麗島站,5,26
7,0009,中央公園站,1,31
8,0021,三多站,10,22
9,0028,新光中山站,8,23
10,0010,獅甲站,10,22
12,0026,凱旋站,20,12
13,0006,西子灣站,3,29
14,0043,鹽埕埔站,18,10
15,0008,市議會(舊址)站,12,20
16,0015,新興區公所站,13,11
17,0038,文化中正站,7,17
18,0029,五塊厝站,6,26
19,0027,技擊館站,17,15
96,0013,衛武營站,1,31
99,0052,大東文化藝術中心站-01,9,23
100,0051,大東文化藝術中心站-02,9,15
102,0053,捷運鳳山站,16,15
104,0056,捷運鳳山西站,14,18
107,0059,捷運小港站,7,25
123,0075,捷運青埔站,9,23
124,0077,捷運南岡山站,15,17
117,0069,捷運世運主場館站,13,19
119,0071,捷運楠梓加工出口區站,18,13
121,0073,捷運都會公園站,8,24
135,0088,高雄國際機場站,3,29
141,0094,草衙站,6,26
145,0098,福誠高中站,9,23
150,0103,南華市場站,0,16
151,0104,郵政總局站,9,7
139,0092,高鐵左營站,14,18
158,0111,巨蛋站(2),2,10
159,0112,後驛站(2),0,16
161,0114,中央公園站(2),4,8
163,0116,三多站(2),12,0
165,0118,文化中正站(2),8,4
243,0123,前鎮高中站,10,22
262,0139,台鐵新左營站,5,11
343,0177,捷運鳳山國中站,4,8
260,0137,捷運大寮站,19,13
261,0138,輔英科技大學站,0,31
344,0178,新甲國小站,7,9
346,0180,三信家商站,6,10
347,0181,大同醫院站,9,7
348,0182,公二公園站,6,10
349,0183,後備指揮部站,8,8
350,0184,三民高中站,14,2
351,0185,家樂福鼎山站,8,8
352,0186,新光國小站,9,7
353,0187,新莊高中站,8,8
354,0188,海青工商站,3,13
355,0189,合群新城和區站,14,2
356,0190,富國公園站,4,12
357,0191,鼓山高中站,16,0
358,0192,仁武區運動公園站,10,6
359,0193,旗津醫院站,5,11
360,0194,興達港站(2),12,4
361,0195,明德國小站,10,6
263,0140,扶輪公園站,13,11
264,0141,高雄榮總站,14,18
266,0143,岡山河堤公園站,15,17
267,0144,岡山稽徵所站,11,17
268,0145,岡山忠孝里站,12,20
269,0146,岡山文化中心站,8,16
270,0147,原民會站,13,11
271,0148,消防局站,14,18
272,0149,前鎮加工區站(1),12,4
273,0150,前鎮加工區站(2),12,4
275,0152,福裕停車場站,14,10
276,0153,文化中心站,16,16
277,0154,正義市場站,5,11
278,0155,高雄高商站,20,8
280,0156,高雄監理所站,9,23
281,0157,楠梓翠屏站,2,30
282,0158,鳳新高中站(2),9,23
316,0159,森林公園站(2),21,11
317,0160,高雄真愛館站,7,9
319,0163,興達港站,12,4
321,0161,小港醫院站,7,25
322,0162,自由市場站,8,20
323,0164,文山高中站,7,9
324,0165,市府鳳山行政中心站(2),5,27
325,0166,澄清湖站(3),7,9
326,0167,澄清湖站(4),10,6
327,0168,澄清湖站(5),5,11
335,0134,大寮區公所站,8,8
336,0170,長青綜合服務中心站,1,15
337,0171,翠平公園站,8,8
338,0172,中鋼成功站,11,5
339,0173,聖和公園站,7,9
340,0174,圖書總館站,10,6
341,0175,中山公園站,8,8
342,0176,高雄監理所(武營)站,10,6
244,0124,美術館馬卡道站,11,21
245,0125,福山廣場站,14,18
249,0126,阿公店水庫站,13,3
251,0127,澄清湖站(2),16,16
252,0128,寶業里滯洪池站,6,26
253,0129,陽明溜冰場站,11,5
254,0130,義民廟站,8,8
255,0131,鼎泰廣場站,3,29
256,0132,平和停車場站,6,26
257,0133,小港區公所站,13,19
258,0135,和春技術學院站(1),7,21
259,0136,和春技術學院站(2),13,19
166,0119,文化師大站(2),3,9
167,0120,光華公園站(2),7,5
168,0121,海科大旗津站(2),0,16
241,0122,鳳新高中站,21,11
164,0117,市府四維站(2),9,3
162,0115,高雄女中站(2),8,4
160,0113,高雄醫學大學站(2),3,9
140,0093,孔廟站,7,25
152,0105,民族八德站,21,11
153,0106,高雄大學站,13,19
154,0107,中山高中站,17,15
155,0108,龍華國小站,12,20
156,0109,海科大旗津站(1),1,15
146,0099,道明中學站,20,3
147,0100,英明公園站,6,26
148,0101,四維公園站,14,2
149,0102,正修大學站,11,21
142,0095,佛公國小站,10,22
143,0096,海洋局站,9,23
144,0097,二聖公園站,30,2
137,0090,左營高中站,13,19
138,0091,蓮潭會館站,19,9
122,0074,高雄第一科技大學站,14,18
120,0072,加昌國小站,8,24
118,0070,世運主場館站,20,12
125,0078,岡山區公所站,11,9
126,0079,西子樓站,17,15
127,0080,龍虎塔站,28,4
128,0081,右昌圖書館站,5,19
129,0082,中鋼台船站,21,11
130,0083,金獅湖站,21,11
131,0084,文藻外語大學站,18,12
132,0085,莊敬公園站,19,13
133,0086,高雄高工站,21,11
134,0087,鼎金國小站,23,9
108,0060,餐旅高中站,4,24
109,0061,社教館站,3,21
110,0062,班超公園站,12,12
111,0063,高雄中學站,13,15
112,0064,博愛國小站,13,15
113,0065,客家文物館站,14,10
114,0066,明堤公園站,7,21
115,0067,微笑公園站,12,19
116,0068,左營國小站,11,21
105,0057,市府鳳山行政中心站,20,12
106,0058,澄清湖站,18,14
103,0054,鳳凌廣場站,3,21
101,0055,市議會(新址)站,22,10
97,0034,高雄醫學大學站,10,18
98,0050,美術館藝片天站,11,21
20,0001,蓮池潭站,15,17
21,0037,裕誠辛亥站,4,27
22,0031,明誠光興站,11,20
23,0048,華榮公園站,0,32
24,0049,森林公園站,16,16
25,0002,鳳山火車站,18,10
26,0033,愛河之心站,9,19
27,0047,科工館站,17,15
28,0046,中山大學站,25,6
29,0005,漁人碼頭站,13,19
30,0007,高雄電影館站,5,27
32,0032,家樂福愛河站,10,18
33,0030,市警局站,14,18
34,0042,國賓飯店站,6,22
35,0045,高雄女中站,23,9
36,0025,七賢忠孝站(暫停營運),4,28
37,0023,民生圓環站,4,28
38,0024,民生民權站,12,19
